                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.3319,                 2.3839,                 1.1753,                0.91037,                0.12615,                0.16192,                0.12886,                  1.205,                 2.6966,                 1.1353,             0.00016739,             0.00016739,             0.00016739
                     54,                 1.3687,                 2.2812,                 1.2182,                0.91037,                0.12615,                0.16192,                0.12886,                  1.205,                 2.6966,                 1.1353,             0.00016398,             0.00016398,             0.00016398
                     55,                 1.3205,                 2.2269,                 1.1703,                0.91208,                  0.136,                0.16878,                0.13405,                  1.211,                 2.6513,                  1.139,             0.00016056,             0.00016056,             0.00016056
                     56,                  1.329,                 2.2884,                 1.1669,                0.91208,                  0.136,                0.16878,                0.13405,                  1.211,                 2.6513,                  1.139,             0.00015715,             0.00015715,             0.00015715
                     57,                  1.337,                 2.2248,                 1.1802,                 0.8333,                0.14336,                0.16969,                0.13462,                 1.2082,                 2.6073,                 1.1375,             0.00015373,             0.00015373,             0.00015373
                     58,                 1.3458,                 2.1676,                 1.2355,                 0.8333,                0.14336,                0.16969,                0.13462,                 1.2082,                 2.6073,                 1.1375,             0.00015032,             0.00015032,             0.00015032
                     59,                 1.3377,                 2.2439,                  1.193,                0.80889,                0.15705,                0.17305,                0.13671,                 1.1928,                 2.5389,                 1.1313,              0.0001469,              0.0001469,              0.0001469
                     60,                 1.2821,                 2.2364,                 1.1744,                0.80889,                0.15705,                0.17305,                0.13671,                 1.1928,                 2.5389,                 1.1313,             0.00014349,             0.00014349,             0.00014349
                     61,                 1.2792,                 2.2471,                 1.1596,                 0.8104,                0.16341,                0.17803,                0.14093,                 1.1804,                 2.4628,                 1.1244,             0.00014007,             0.00014007,             0.00014007
                     62,                  1.257,                 2.0023,                 1.1486,                 0.8104,                0.16341,                0.17803,                0.14093,                 1.1804,                 2.4628,                 1.1244,             0.00013665,             0.00013665,             0.00013665
                     63,                 1.3349,                 2.1724,                 1.1597,                0.81805,                0.17414,                0.18318,                0.14746,                 1.1469,                  2.374,                  1.104,             0.00013324,             0.00013324,             0.00013324
                     64,                 1.2678,                 2.1168,                 1.1466,                0.81805,                0.17414,                0.18318,                0.14746,                 1.1469,                  2.374,                  1.104,             0.00012982,             0.00012982,             0.00012982
                     65,                 1.3053,                 2.1325,                 1.1625,                0.84519,                0.17262,                0.19277,                0.15607,                 1.0985,                 2.2629,                 1.0792,             0.00012641,             0.00012641,             0.00012641
                     66,                 1.3108,                 2.0461,                 1.1599,                0.84519,                0.17262,                0.19277,                0.15607,                 1.0985,                 2.2629,                 1.0792,             0.00012299,             0.00012299,             0.00012299
                     67,                 1.3371,                 2.1082,                 1.1648,                0.84025,                0.17252,                 0.1992,                0.16224,                 1.0643,                 2.1525,                 1.0607,             0.00011958,             0.00011958,             0.00011958
                     68,                 1.2778,                 2.1143,                 1.1569,                0.84025,                0.17252,                 0.1992,                0.16224,                 1.0643,                 2.1525,                 1.0607,             0.00011616,             0.00011616,             0.00011616
                     69,                 1.2931,                 2.0691,                 1.1455,                0.84613,                0.16787,                0.21533,                0.17804,                 1.0558,                 2.0722,                 1.0523,             0.00011275,             0.00011275,             0.00011275
                     70,                 1.2879,                 2.0537,                 1.1466,                0.84613,                0.16787,                0.21533,                0.17804,                 1.0558,                 2.0722,                 1.0523,             0.00010933,             0.00010933,             0.00010933
                     71,                 1.2302,                 1.9614,                 1.1325,                0.82176,                 0.1843,                0.21839,                0.18029,                 1.0436,                 2.0021,                 1.0449,             0.00010592,             0.00010592,             0.00010592
                     72,                   1.27,                 2.0626,                 1.1672,                0.82176,                 0.1843,                0.21839,                0.18029,                 1.0436,                 2.0021,                 1.0449,              0.0001025,              0.0001025,              0.0001025
                     73,                 1.2853,                 1.9952,                 1.1194,                0.82141,                0.18319,                 0.2217,                0.18241,                 1.0406,                 1.9344,                 1.0444,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     74,                 1.2653,                 1.9933,                 1.1294,                0.82141,                0.18319,                 0.2217,                0.18241,                 1.0406,                 1.9344,                 1.0444,             9.5669e-05,             9.5669e-05,             9.5669e-05
                     75,                  1.211,                 1.9444,                 1.1445,                 0.8576,                0.16725,                0.22442,                 0.1855,                  1.033,                 1.8824,                 1.0422,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     76,                 1.2604,                 1.9793,                 1.1395,                 0.8576,                0.16725,                0.22442,                 0.1855,                  1.033,                 1.8824,                 1.0422,             8.8837e-05,             8.8837e-05,             8.8837e-05
                     77,                 1.1855,                 1.9235,                 1.1074,                0.83406,                0.18092,                 0.2284,                0.18939,                 1.0208,                 1.8242,                 1.0396,             8.5422e-05,             8.5422e-05,             8.5422e-05
                     78,                 1.2979,                 1.9938,                 1.1437,                0.83406,                0.18092,                 0.2284,                0.18939,                 1.0208,                 1.8242,                 1.0396,             8.2006e-05,             8.2006e-05,             8.2006e-05
                     79,                 1.2502,                 1.9577,                 1.1227,                0.91489,                0.16413,                0.23353,                0.19328,                 1.0143,                 1.7856,                 1.0382,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     80,                 1.2133,                 1.8434,                 1.1318,                0.91489,                0.16413,                0.23353,                0.19328,                 1.0143,                 1.7856,                 1.0382,             7.5175e-05,             7.5175e-05,             7.5175e-05
                     81,                 1.2487,                 1.9601,                 1.1533,                0.91795,                0.16571,                 0.2374,                0.19622,                 1.0066,                 1.7436,                 1.0375,              7.176e-05,              7.176e-05,              7.176e-05
                     82,                 1.3018,                 1.9478,                 1.1433,                0.91795,                0.16571,                 0.2374,                0.19622,                 1.0066,                 1.7436,                 1.0375,             6.8344e-05,             6.8344e-05,             6.8344e-05
                     83,                 1.2472,                  1.892,                 1.1471,                0.83669,                0.18329,                0.23995,                0.19879,                 1.0017,                 1.7134,                  1.037,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     84,                 1.2165,                 1.8658,                 1.1181,                0.83669,                0.18329,                0.23995,                0.19879,                 1.0017,                 1.7134,                  1.037,             6.1514e-05,             6.1514e-05,             6.1514e-05
                     85,                 1.1899,                 1.7646,                 1.0987,                0.83581,                0.18344,                0.24244,                0.20032,                0.99333,                 1.6886,                 1.0355,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     86,                 1.2306,                 1.9888,                 1.1023,                0.83581,                0.18344,                0.24244,                0.20032,                0.99333,                 1.6886,                 1.0355,             5.4683e-05,             5.4683e-05,             5.4683e-05
                     87,                 1.2576,                 1.9265,                 1.1269,                0.83546,                0.18108,                0.24531,                0.20252,                0.98434,                 1.6721,                 1.0331,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     88,                 1.1695,                 1.7827,                 1.1325,                0.83546,                0.18108,                0.24531,                0.20252,                0.98434,                 1.6721,                 1.0331,             4.7852e-05,             4.7852e-05,             4.7852e-05
                     89,                 1.1905,                 1.9364,                 1.1124,                0.83535,                 0.1844,                0.24828,                0.20575,                0.97429,                 1.6561,                 1.0291,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     90,                 1.2778,                  2.074,                 1.1581,                0.83535,                 0.1844,                0.24828,                0.20575,                0.97429,                 1.6561,                 1.0291,              4.102e-05,              4.102e-05,              4.102e-05
                     91,                 1.2822,                 2.0674,                 1.1597,                0.88613,                0.17497,                0.24907,                0.20616,                0.97771,                 1.6197,                 1.0317,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     92,                 1.1634,                 1.8804,                 1.1153,                0.88613,                0.17497,                0.24907,                0.20616,                0.97771,                 1.6197,                 1.0317,             3.4189e-05,             3.4189e-05,             3.4189e-05
                     93,                 1.1858,                 2.0688,                 1.1418,                0.83715,                0.18778,                0.25125,                0.20713,                 0.9812,                 1.5994,                 1.0336,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     94,                 1.2525,                 2.0451,                 1.1582,                0.83715,                0.18778,                0.25125,                0.20713,                 0.9812,                 1.5994,                 1.0336,             2.7358e-05,             2.7358e-05,             2.7358e-05
                     95,                 1.1463,                 1.9275,                 1.1202,                 0.8384,                0.18919,                0.25317,                0.20843,                0.98148,                 1.5858,                 1.0343,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     96,                 1.2462,                 1.9678,                 1.1277,                 0.8384,                0.18919,                0.25317,                0.20843,                0.98148,                 1.5858,                 1.0343,             2.0528e-05,             2.0528e-05,             2.0528e-05
                     97,                  1.228,                 2.0052,                 1.1278,                0.84136,                0.19059,                0.24961,                0.20424,                0.98608,                 1.5739,                 1.0368,             1.7112e-05,             1.7112e-05,             1.7112e-05
                     98,                 1.1818,                 1.9348,                 1.1119,                0.84136,                0.19059,                0.24961,                0.20424,                0.98608,                 1.5739,                 1.0368,             1.3697e-05,             1.3697e-05,             1.3697e-05
                     99,                 1.1846,                 1.9836,                 1.1537,                 0.8406,                0.19056,                0.24952,                0.20344,                0.98964,                  1.572,                 1.0387,             1.0281e-05,             1.0281e-05,             1.0281e-05
